binding_id,feature_id,parameter_role,parameter_id,chosen_value,unit,evidence_class,source_locator,derivation,parent_parameter_ids,uncertainty_or_range,adjustable,geometry_only,applicability,configuration_override,promotion_gate,product_fact
B001,ENVELOPE_REF,WIDTH,D001,27.5,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B002,ENVELOPE_REF,LENGTH,D002,41.5,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B003,ENVELOPE_REF,THICKNESS,D003,2.8,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,false,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G1_ENVELOPE,false
B004,TOP_COVER_CAND,THICKNESS,C015,0.25,mm,C,official data sheet fixes total thickness only,P1 total-thickness closure,P1 total-thickness closure,0.10-0.40 mm exploratory range; no direct layer measurement,true,false,CAD/mass,SEE_P1_CAD_PARAMETER_MAP,P1_GEOMETRY_REVIEW,false
B005,TOP_COVER_CAND,INTAKE_GEOMETRY,C004,candidate_v1_dual_view_homography,-,I,AirJet Mini Data Sheet page 1 two product renders,official_image_measurements.csv plus gen1_vent_homography_results.csv,official_image_measurements.csv plus gen1_vent_homography_results.csv,corner +/-3 px and endpoint +/-2 px propagated by 10000-sample Monte Carlo; cross-view center shift reaches about 2.6 mm; marketing-render model error remains unknown,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B006,VENT_DRAWN_01_I,WIDTH_PRIOR,P013,0.75,mm,P,US12137540B2 local PDF p.20 printed col.6 lines49-56,midpoint of preferred embodiment,midpoint of preferred embodiment,0.25-2.0 mm broad; 0.5-1.0 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B007,VENT_DRAWN_01_I,DRAWN_OBJECT_COUNT,C014,4_drawn_vent_objects_not_confirmed_groups,count,I,AirJet Mini Data Sheet page 1 two product renders,dual-view object extraction and topology comparison,dual-view object extraction and topology comparison,both official render objects draw four elongated vents but production group count is unverified,true,false,CAD/flow,SEE_P1_CAD_PARAMETER_MAP,P1_IMAGE_REVIEW,false
B008,VENT_RISER_FLUID_CAND,VENT_PLANFORM_DATASET,C004,candidate_v1_dual_view_homography,-,I,AirJet Mini Data Sheet page 1 two product renders,official_image_measurements.csv plus gen1_vent_homography_results.csv,official_image_measurements.csv plus gen1_vent_homography_results.csv,corner +/-3 px and endpoint +/-2 px propagated by 10000-sample Monte Carlo; cross-view center shift reaches about 2.6 mm; marketing-render model error remains unknown,true,true,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B009,VENT_RISER_FLUID_CAND,RISER_COUNT_FROM_DRAWN_OBJECTS,C014,4_drawn_vent_objects_not_confirmed_groups,count,I,AirJet Mini Data Sheet page 1 two product renders,dual-view object extraction and topology comparison,dual-view object extraction and topology comparison,both official render objects draw four elongated vents but production group count is unverified,true,true,CAD/flow,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B010,VENT_RISER_FLUID_CAND,PRODUCT_TOP_Z,D003,2.8,mm,D,AirJet Mini Data Sheet page 1 metric table,none,none,as reported,false,true,CAD/CFD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B011,VENT_RISER_FLUID_CAND,TOP_COVER_THICKNESS_REFERENCE,C015,0.25,mm,C,official data sheet fixes total thickness only,P1 total-thickness closure,P1 total-thickness closure,0.10-0.40 mm exploratory range; no direct layer measurement,true,true,CAD/mass,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B012,VENT_RISER_FLUID_CAND,RESIDUAL_TOTAL_REFERENCE,C019,0.735,mm,U,total 2.8 mm is direct but internal layer partition is not,D003-(C015+P005+P002+C018+C016+P010+C009+C017),D003-(C015+P005+P002+C018+C016+P010+C009+C017),recomputed as exact closure residual; physical decomposition and location unknown,false,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B013,VENT_RISER_FLUID_CAND,RESIDUAL_TOP_FRACTION_REFERENCE,C020,0.50,fraction,C,no public evidence; symmetric split is only the first CAD scaffold,t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),0.25-0.75 exploratory split; not product evidence,true,true,CAD/image/mass,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B014,CELL_PARTITION_CAND_TEMPLATE,WALL_CLEARANCE,P014,0.25,mm,P,US12137540B2 local PDF p.21 printed col.7 lines61-65 and following continuation,midpoint of preferred embodiment,midpoint of preferred embodiment,0.1-0.5 mm broad; 0.2-0.3 mm preferred,true,true,CAD/layout,SEE_P1_CAD_PARAMETER_MAP,P1_TOPOLOGY_REVIEW,false
B015,MEMBRANE_CAND_TEMPLATE,EFFECTIVE_LENGTH,P001,8,mm,P,US12137540B2 local PDF p.19 printed col.4 lines1-6 and p.21 col.7 lines43-49,midpoint of preferred embodiment,midpoint of preferred embodiment,4-10 mm broad; 6-8 mm preferred,true,true,structural/layout,SEE_P1_CAD_PARAMETER_MAP,P2_ENTRY,false
B016,MEMBRANE_CAND_TEMPLATE,EFFECTIVE_THICKNESS_R0,P002,0.275,mm,P,US12137540B2 local PDF p.21 printed col.7 lines53-59,midpoint of embodiment,midpoint of embodiment,0.2-0.35 mm for an 8 mm element,true,true,structural,SEE_P1_CAD_PARAMETER_MAP,P2_ENTRY,false
B017,CENTRAL_ANCHOR_CAND_TEMPLATE,ANCHOR_WIDTH,P012,2.25,mm,P,US12137540B2 local PDF p.21 printed col.7 lines17-23,midpoint of preferred embodiment,midpoint of preferred embodiment,0.5-4 mm broad; 2-2.5 mm preferred,true,true,CAD/structural,SEE_P1_CAD_PARAMETER_MAP,P2_ENTRY,false
B018,ORIFICE_PLATE_CAND,PLATE_THICKNESS,C016,0.10,mm,C,patent supports an orifice structure but no locked Mini plate thickness,P1 total-thickness closure and robust Boolean requirement,P1 total-thickness closure and robust Boolean requirement,0.05-0.20 mm exploratory range; no direct Mini value,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B019,ORIFICE_PLATE_CAND,ORIFICE_DIAMETER,P007,0.25,mm,P,US12137540B2 local PDF p.22 printed col.9 lines26-32,midpoint of preferred embodiment,midpoint of preferred embodiment,0.1-0.5 mm broad; 0.2-0.3 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B020,ORIFICE_PLATE_CAND,SEPARATION_S_UNRESOLVED,P008,0.50,mm,P,US12137540B2 local PDF p.22 printed col.9 lines32-36 and applicable figure definition,midpoint of preferred embodiment,midpoint of preferred embodiment,0.1-1.0 mm broad; 0.4-0.6 mm preferred; center-versus-edge definition unresolved,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B021,ORIFICE_PLATE_CAND,OPEN_AREA_TARGET,P009,10,percent,P,US12137540B2 local PDF p.22 printed col.9 lines36-44,midpoint of preferred embodiment,midpoint of preferred embodiment,5-15 percent broad; 8-12 percent preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B022,C017_SUPPORT_ALLOWANCE_REF,THICKNESS_BOOKKEEPING,C017,0.10,mm,C,component existence is architectural; aggregate thickness is unresolved,P1 total-thickness closure,P1 total-thickness closure,0.05-0.25 mm exploratory geometry allowance for unresolved bond electrode and support solids,true,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G3_THICKNESS,false
B023,C019_TOP_REF,TOTAL_RESIDUAL,C019,0.735,mm,U,total 2.8 mm is direct but internal layer partition is not,D003-(C015+P005+P002+C018+C016+P010+C009+C017),D003-(C015+P005+P002+C018+C016+P010+C009+C017),recomputed as exact closure residual; physical decomposition and location unknown,false,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G3_THICKNESS,false
B024,C019_TOP_REF,TOP_FRACTION,C020,0.50,fraction,C,no public evidence; symmetric split is only the first CAD scaffold,t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),0.25-0.75 exploratory split; not product evidence,true,true,CAD/image/mass,SEE_P1_CAD_PARAMETER_MAP,P1_G3_THICKNESS,false
B025,C019_BOTTOM_REF,TOTAL_RESIDUAL,C019,0.735,mm,U,total 2.8 mm is direct but internal layer partition is not,D003-(C015+P005+P002+C018+C016+P010+C009+C017),D003-(C015+P005+P002+C018+C016+P010+C009+C017),recomputed as exact closure residual; physical decomposition and location unknown,false,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G3_THICKNESS,false
B026,C019_BOTTOM_REF,TOP_FRACTION,C020,0.50,fraction,C,no public evidence; symmetric split is only the first CAD scaffold,t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),t_residual_top=C019*C020 and bottom remainder=C019*(1-C020),0.25-0.75 exploratory split; not product evidence,true,true,CAD/image/mass,SEE_P1_CAD_PARAMETER_MAP,P1_G3_THICKNESS,false
B027,FLUID_DOMAIN_CLOSURE_DATUM_C,SUPPORT_INTERVAL_REFERENCE,C017,0.10,mm,C,component existence is architectural; aggregate thickness is unresolved,P1 total-thickness closure,P1 total-thickness closure,0.05-0.25 mm exploratory geometry allowance for unresolved bond electrode and support solids,true,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B028,FLUID_DOMAIN_CLOSURE_DATUM_C,RESIDUAL_INTERVAL_REFERENCE,C019,0.735,mm,U,total 2.8 mm is direct but internal layer partition is not,D003-(C015+P005+P002+C018+C016+P010+C009+C017),D003-(C015+P005+P002+C018+C016+P010+C009+C017),recomputed as exact closure residual; physical decomposition and location unknown,false,true,CAD only,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B029,HEAT_SPREADER_CAND,THICKNESS,C009,0.80,mm,C,official cross-section only proves a spreader exists; value is a P1 candidate,P1 thickness closure only,P1 thickness closure only,0.30-0.90 mm exploratory P1 range; no mass constraint claimed until material density effective area and remaining-part mass are modeled,true,false,CAD/CHT,SEE_P1_CAD_PARAMETER_MAP,P1_GEOMETRY_REVIEW,false
B030,TOP_CHAMBER_FLUID_CAND_TEMPLATE,HEIGHT,P005,0.25,mm,P,US12137540B2 local PDF p.20 printed col.6 lines21-26,midpoint of preferred embodiment,midpoint of preferred embodiment,0.05-0.5 mm broad; 0.2-0.3 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B031,PERIMETER_GAP_FLUID_CAND_TEMPLATE,R0_TOTAL_BETWEEN_MEMBRANE_GAP,P014,0.25,mm,P,US12137540B2 local PDF p.21 printed col.7 lines61-65 and following continuation,midpoint of preferred embodiment,midpoint of preferred embodiment,0.1-0.5 mm broad; 0.2-0.3 mm preferred,true,false,CAD/layout,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B032,BOTTOM_CHAMBER_FLUID_CAND_TEMPLATE,HEIGHT,C018,0.04,mm,C,US12137540B2 candidate relationships via P004 and P006,h_bottom=A_tip+bottom_clearance_above_amplitude using P004 and P006,h_bottom=A_tip+bottom_clearance_above_amplitude using P004 and P006,0.015-0.070 mm from 10-60 um displacement plus 5-10 um clearance,false,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B033,ORIFICE_FLUID_SET_CAND_TEMPLATE,DIAMETER,P007,0.25,mm,P,US12137540B2 local PDF p.22 printed col.9 lines26-32,midpoint of preferred embodiment,midpoint of preferred embodiment,0.1-0.5 mm broad; 0.2-0.3 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B034,ORIFICE_FLUID_SET_CAND_TEMPLATE,OPEN_AREA_TARGET,P009,10,percent,P,US12137540B2 local PDF p.22 printed col.9 lines36-44,midpoint of preferred embodiment,midpoint of preferred embodiment,5-15 percent broad; 8-12 percent preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G4_ORIFICE_CLOSURE,false
B035,IMPINGEMENT_CHANNEL_FLUID_CAND,GAP,P010,0.25,mm,P,US12137540B2 local PDF p.20 printed col.5 lines47-55,midpoint of preferred embodiment,midpoint of preferred embodiment,0.2-1.0 mm broad; 0.2-0.3 mm preferred,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_G2_CONNECTIVITY,false
B036,EXHAUST_MANIFOLD_FLUID_CAND,GEOMETRY_BRANCH,C005,SELECT_FROM_P1_PLANFORM_EXHAUST_CANDIDATES,branch_id,C,AirJet Mini official flow diagram; p1_planform_exhaust_candidates.csv,explicit C-class R0 branch closes unresolved C005 geometry,official-image coordinate extraction,pixel measurement uncertainty required,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_TOPOLOGY_REVIEW,false
B037,SPOUT_FLUID_CAND,GEOMETRY_BRANCH,C005,SELECT_FROM_P1_PLANFORM_EXHAUST_CANDIDATES,branch_id,C,AirJet Mini official flow diagram; p1_planform_exhaust_candidates.csv,explicit C-class R0 branch closes unresolved C005 geometry,official-image coordinate extraction,pixel measurement uncertainty required,true,false,CAD/CFD,SEE_P1_CAD_PARAMETER_MAP,P1_TOPOLOGY_REVIEW,false
